count_point_id,road_name,latitude,longitude,all_motor_vehicles,TrafficLevel
6359,A34,52.43588968,-1.84667816,21454,High
6390,A38,52.51674616,-1.809849727,28043,Very High
6392,A38,52.45393596,-1.911658302,28041,Very High
6448,A41,52.50942984,-1.957222096,25590,High
6449,A41,52.44700725,-1.824864431,10483,Medium
7142,A441,52.41798495,-1.92496204,14893,Medium
7167,A452,52.54557679,-1.853963965,16518,High
7172,A453,52.54751872,-1.854060634,9286,Medium
7179,A456,52.47192705,-1.927815994,38577,Very High
7627,A4040,52.51328115,-1.92774858,12458,Medium
7676,A4540,52.49098066,-1.886916016,38298,Very High
7677,A4540,52.47552027,-1.923393422,26817,Very High
7926,A4040,52.46295394,-1.964626034,9213,Medium
7927,A4540,52.45956793,-1.876325704,14024,Medium
8010,A4040,52.42870724,-1.854350492,15182,Medium
8347,A4040,52.50768748,-1.940531155,8581,Medium
16025,M6,52.53034049,-1.898238876,166395,Very High
16365,A38,52.50772718,-1.852617456,42755,Very High
16423,A41,52.50195369,-1.927766942,17383,High
17128,A452,52.5212315,-1.803934792,23833,High
17133,A453,52.5757493,-1.8108349,13083,Medium
17139,A456,52.46331881,-2.001421998,39889,Very High
17593,A4040,52.45653655,-1.824826902,27063,Very High
17612,A4123,52.46295819,-1.984201419,20337,High
17644,A4540,52.4925823,-1.898326152,29340,Very High
17682,A5127,52.5516705,-1.826304723,15984,Medium
17998,A4540,52.46696206,-1.899856842,65253,Very High
18539,A452,52.55278165,-1.864853992,18465,High
26361,A34,52.45389301,-1.866040616,16025,High
26393,A38,52.52766709,-1.782532762,32375,Very High
26395,A38,52.46260541,-1.90407603,26130,High
26454,A41,52.45298025,-1.854271262,25424,High
27167,A441,52.42697311,-1.922005799,16005,Medium
27191,A452,52.54755995,-1.858381432,17030,High
27196,A453,52.53302382,-1.883490401,17543,High
27203,A5127,52.57269515,-1.824127736,20442,High
27690,A4040,52.50689188,-1.832877148,34119,Very High
27691,A4040,52.43587743,-1.837411266,23889,High
27736,A4540,52.48079453,-1.877474314,56448,Very High
27737,A4540,52.48091523,-1.924856484,35473,Very High
27773,A5127,52.51141494,-1.854078517,30194,Very High
28039,A41,52.50429775,-1.939548668,16342,High
28042,A4540,52.47161389,-1.875703494,41293,Very High
28476,A41,52.45106178,-1.831102169,26758,High
36023,M6,52.50935498,-1.798094421,147469,Very High
36070,A38(M),52.50730482,-1.876192679,118252,Very High
36366,A34,52.42485034,-1.840157318,18231,High
36456,A41,52.50519922,-1.944556404,12452,Medium
37188,A435,52.41795858,-1.891144169,16953,High
37198,A441,52.40899676,-1.927917071,20995,High
37222,A452,52.53115275,-1.824528752,23517,High
37227,A5127,52.55722695,-1.826637482,13677,Medium
37233,A456,52.47014797,-1.971980593,43111,Very High
37238,A457,52.48658079,-1.927792058,17741,High
37730,A4040,52.42453963,-1.913186628,9939,Medium
37779,A4540,52.49230736,-1.892435602,36313,Very High
37780,A4540,52.47155748,-1.913095574,45374,Very High
37818,A5127,52.59769978,-1.839322832,7136,Low
38010,A4040,52.48542024,-1.942519616,8938,Medium
38313,M6,52.50862921,-1.794266887,23042,High
38523,M6,52.51422919,-1.76020163,153614,Very High
38552,A456,52.47275377,-1.966973638,39787,Very High
46365,A34,52.54204919,-1.927701763,19590,High
46397,A38,52.55264473,-1.774593844,21345,High
46398,A5127,52.50783005,-1.863372807,25238,High
47166,A4540,52.4655987,-1.883668664,38582,Very High
47176,A441,52.46207287,-1.901501497,21864,High
47202,A452,52.51672918,-1.799533969,41960,Very High
47206,A453,52.52943758,-1.893818712,31349,Very High
47214,A456,52.45351944,-2.007896417,28038,Very High
47686,A4040,52.48991299,-1.938095627,12814,Medium
47687,A4040,52.51755429,-1.83960066,14960,Medium
47688,A4040,52.44852645,-1.830994078,16889,High
47706,A4040,52.4179889,-1.931431549,13073,Medium
47731,A4540,52.49088816,-1.916003036,32897,Very High
47777,A5127,52.52577882,-1.838582956,19792,High
48068,A41,52.45812305,-1.870295804,22428,High
48185,A38(M),52.50977895,-1.861701699,147815,Very High
56330,A34,52.50786957,-1.90330037,51295,Very High
56331,A41,52.46289361,-1.875727762,17036,High
56394,A38,52.48808071,-1.890973235,73125,Very High
56399,A38,52.51434158,-1.824596332,28311,Very High
56948,A4040,52.51338931,-1.883248411,15455,Medium
57103,A441,52.40683916,-1.927920479,12271,Medium
57193,A4540,52.48793952,-1.884331928,35141,Very High
57194,A4540,52.46487,-1.892605033,61800,Very High
57213,A454,52.5934932,-1.85380516,7729,Medium
57233,A38(M),52.49886396,-1.885938381,85840,Very High
57238,A457,52.48649904,-1.942518214,10967,Medium
57689,A4040,52.51506038,-1.942628561,20373,High
57701,A4097,52.52925329,-1.765574197,14345,Medium
58153,A457,52.48645234,-1.939057664,17584,High
70221,A4540,52.49376983,-1.910415474,28508,Very High
70222,A41,52.49349557,-1.916439928,15689,Medium
70223,A41,52.49448147,-1.912314031,14333,Medium
70224,A5127,52.56244015,-1.825879886,10147,Medium
70225,A5127,52.56225378,-1.821455147,9518,Medium
70226,A5127,52.56782976,-1.822907881,15947,Medium
70227,A38(M),52.49077606,-1.889199294,58499,Very High
70230,M6,52.51205825,-1.865864525,166395,Very High
70231,M6,52.51034503,-1.861449413,24959,High
70232,M6,52.5106669,-1.867725391,24959,High
70233,M6,52.50968726,-1.867978854,21711,High
70234,M6,52.51052552,-1.862038228,24959,High
70235,A38(M),52.51004359,-1.85745731,24155,High
70236,A38(M),52.50872243,-1.857771042,34204,Very High
73055,A34,52.4207706,-1.834834236,29100,Very High
73423,A458,52.46209569,-2.010635528,20034,High
74460,A38,52.50863199,-1.857329314,8551,Medium
74468,A5127,52.51007067,-1.857545629,6039,Low
74479,A38,52.49130644,-1.889168508,14625,Medium
75000,A4040,52.50976968,-1.833602834,17810,High
75001,A4040,52.50941194,-1.834930302,14949,Medium
75002,A38,52.50995154,-1.835075603,28518,Very High
75003,A34,52.51832313,-1.900993402,13597,Medium
77254,A453,52.5831574,-1.794804566,18986,High
78684,A452,52.56807986,-1.878970749,18465,High
80832,M6(T),52.5865692,-1.792279468,39064,Very High
80834,M6(T),52.57134316,-1.774203069,21152,High
81026,M6(T),52.56935806,-1.770377265,795,Low
81027,A38,52.57268856,-1.772573116,22739,High
81028,A38,52.56935891,-1.770819875,20006,High
81323,A4041,52.55482146,-1.900010489,14807,Medium
81493,A38,52.48600898,-1.896471097,69156,Very High
81494,A4400,52.48588312,-1.896471392,16389,High
81575,A4040,52.44718716,-1.945850166,26401,High
81577,A38,52.44729405,-1.92734092,27942,Very High
89102,A452,52.50482665,-1.79963287,30214,Very High
89247,A4029,52.45163515,-1.912516277,6410,Low
90316,A47,52.49685999,-1.86149227,18863,High
92245,A38,52.41800473,-1.967601969,21128,High
92292,A45,52.46066562,-1.803616967,43620,Very High
93041,A38,52.44225868,-1.941825173,37166,Very High
93042,A4040,52.48197168,-1.809044156,16941,High
94138,A435,52.43594003,-1.892571427,14071,Medium
95057,A453,52.52584419,-1.896775476,31393,Very High
96042,A38,52.48027239,-1.906040387,66762,Very High
96043,A4400,52.47991334,-1.906733169,16490,High
97121,A38,52.47380326,-1.899620654,49151,Very High
97355,A45,52.46197023,-1.854241889,34680,Very High
99233,A47,52.50732508,-1.821677834,23903,High
99234,A452,52.51043176,-1.796910652,56687,Very High
800185,B4135,52.48227408,-1.913737101,14064,Medium
800186,B4138,52.53684951,-1.888625615,14792,Medium
800187,B4129,52.45303972,-1.945931365,9690,Medium
801232,C,52.4811696,-1.781835832,6152,Low
801233,C,52.48657159,-1.824590244,9978,Medium
801234,C,52.46041477,-2.007897648,10330,Medium
802957,U,52.47023133,-1.951931081,9620,Medium
802958,U,52.54240421,-1.920593965,521,Low
802960,U,52.43458887,-1.960294746,7207,Low
802961,U,52.44987049,-1.879030497,447,Low
802962,U,52.47274465,-1.865660152,8461,Medium
802964,U,52.56229177,-1.816881955,15881,Medium
802965,U,52.47477821,-1.875547466,3525,Low
802966,U,52.52497722,-1.767218089,2353,Low
802968,U,52.40583494,-2.012368965,2885,Low
802969,U,52.42838506,-1.83474721,453,Low
802970,U,52.46326794,-1.962565227,429,Low
802972,U,52.49466469,-1.876110385,2791,Low
802973,U,52.46076162,-1.818717065,1374,Low
802976,U,52.42315841,-1.885411227,5549,Low
802977,U,52.54990783,-1.904593602,5553,Low
802978,U,52.55995622,-1.818101118,7713,Low
802980,U,52.42023615,-1.975922913,2754,Low
802982,U,52.43091792,-1.933691631,4227,Low
802983,U,52.42850298,-1.924400384,6809,Low
802985,U,52.4614105,-1.792324914,7900,Medium
802990,U,52.54833166,-1.872919877,6264,Low
802991,U,52.47713578,-1.896418235,2423,Low
802992,U,52.45831941,-1.809219814,4172,Low
802993,U,52.45940215,-1.790288588,7568,Low
805271,U,52.43849706,-1.920044089,3015,Low
805330,U,52.45247592,-1.985264575,6117,Low
806442,U,52.52542246,-1.834442315,2683,Low
806475,B4284,52.46993988,-1.927215698,11309,Medium
806503,B4125,52.47322828,-1.939591135,8519,Medium
806592,U,52.51927433,-1.835202471,554,Low
806671,B4142,52.54764562,-1.840964545,10870,Medium
806844,B4121,52.43408977,-1.976386495,16286,High
807033,U,52.512424,-1.938108401,1279,Low
807167,U,52.49056129,-1.900363182,496,Low
807292,C,52.46741983,-1.770172209,16452,High
807346,B4124,52.46276379,-1.939428805,14860,Medium
807562,C,52.4422721,-1.814732017,5039,Low
807654,C,52.5021178,-1.885340772,14027,Medium
807738,U,52.40984778,-1.871508962,1217,Low
807907,U,52.54012683,-1.894043221,3562,Low
808038,C,52.45827891,-1.925792597,15322,Medium
808178,U,52.54334451,-1.883772434,2014,Low
808194,U,52.48289519,-1.802060186,458,Low
808297,U,52.51991196,-1.841272169,2838,Low
808493,C,52.49151235,-1.921627826,5768,Low
808794,U,52.44000243,-1.965085621,5845,Low
808960,B4145,52.47235475,-1.855120677,7431,Low
809093,U,52.43308406,-1.82038898,386,Low
809299,U,52.4707603,-1.917160066,1239,Low
809313,U,52.53294386,-1.79767562,613,Low
809413,B4142,52.5289203,-1.84149008,10345,Medium
809634,U,52.41347522,-1.844946793,4184,Low
810115,U,52.38967125,-2.001475141,5655,Low
810211,C,52.45210401,-1.866060697,3477,Low
810382,U,52.46859607,-1.887473422,619,Low
810873,B4144,52.50295595,-1.908231364,10500,Medium
812135,B4151,52.58841676,-1.811208462,9384,Medium
812140,U,52.40612302,-1.932992902,549,Low
812141,B4146,52.4314573,-1.886507794,4412,Low
812267,U,52.40490634,-1.944283493,3147,Low
812298,U,52.46327433,-1.908681491,8775,Medium
820021,U,52.52211563,-1.780025087,273,Low
820022,U,52.51902799,-1.797990683,72,Low
820023,U,52.45882373,-1.78359499,43,Low
820024,U,52.45137892,-1.886162985,201,Low
