SystemCodeNumber,Capacity,Occupancy,LastUpdated
BHMBCCMKT01,577,61,2016-10-04 07:59:42
BHMBCCMKT01,577,64,2016-10-04 08:25:42
BHMBCCMKT01,577,80,2016-10-04 08:59:42
BHMBCCMKT01,577,107,2016-10-04 09:32:46
BHMBCCMKT01,577,150,2016-10-04 09:59:48
BHMBCCMKT01,577,177,2016-10-04 10:26:49
BHMBCCMKT01,577,219,2016-10-04 10:59:48
BHMBCCMKT01,577,247,2016-10-04 11:25:47
BHMBCCMKT01,577,259,2016-10-04 11:59:44
BHMBCCMKT01,577,266,2016-10-04 12:29:45
BHMBCCMKT01,577,269,2016-10-04 13:02:48
BHMBCCMKT01,577,263,2016-10-04 13:29:45
BHMBCCMKT01,577,238,2016-10-04 14:02:47
BHMBCCMKT01,577,215,2016-10-04 14:29:49
BHMBCCMKT01,577,192,2016-10-04 14:57:13
BHMBCCMKT01,577,165,2016-10-04 15:30:14
BHMBCCMKT01,577,162,2016-10-04 16:04:12
BHMBCCMKT01,577,143,2016-10-04 16:31:14
BHMBCCMKT01,577,54,2016-10-05 07:57:17
BHMBCCMKT01,577,59,2016-10-05 08:30:15
BHMBCCMKT01,577,71,2016-10-05 09:04:19
BHMBCCMKT01,577,83,2016-10-05 09:30:15
BHMBCCMKT01,577,114,2016-10-05 10:04:15
BHMBCCMKT01,577,128,2016-10-05 10:30:17
BHMBCCMKT01,577,148,2016-10-05 11:04:19
BHMBCCMKT01,577,162,2016-10-05 11:30:18
BHMBCCMKT01,577,178,2016-10-05 12:04:14
BHMBCCMKT01,577,183,2016-10-05 12:30:16
BHMBCCMKT01,577,175,2016-10-05 12:57:15
BHMBCCMKT01,577,179,2016-10-05 13:30:19
BHMBCCMKT01,577,174,2016-10-05 13:57:20
BHMBCCMKT01,577,158,2016-10-05 14:30:17
BHMBCCMKT01,577,145,2016-10-05 14:57:19
BHMBCCMKT01,577,129,2016-10-05 15:30:15
BHMBCCMKT01,577,121,2016-10-05 16:04:18
BHMBCCMKT01,577,114,2016-10-05 16:30:17
BHMBCCMKT01,577,58,2016-10-06 07:57:25
BHMBCCMKT01,577,63,2016-10-06 08:30:20
BHMBCCMKT01,577,70,2016-10-06 08:57:22
BHMBCCMKT01,577,95,2016-10-06 09:30:20
BHMBCCMKT01,577,135,2016-10-06 10:03:20
BHMBCCMKT01,577,160,2016-10-06 10:30:20
BHMBCCMKT01,577,177,2016-10-06 10:57:20
BHMBCCMKT01,577,191,2016-10-06 11:30:22
BHMBCCMKT01,577,199,2016-10-06 12:04:24
BHMBCCMKT01,577,206,2016-10-06 12:30:24
BHMBCCMKT01,577,198,2016-10-06 12:57:21
BHMBCCMKT01,577,208,2016-10-06 13:30:21
BHMBCCMKT01,577,200,2016-10-06 13:57:22
BHMBCCMKT01,577,175,2016-10-06 14:30:23
BHMBCCMKT01,577,158,2016-10-06 15:04:22
BHMBCCMKT01,577,153,2016-10-06 15:31:22
BHMBCCMKT01,577,135,2016-10-06 16:04:23
BHMBCCMKT01,577,129,2016-10-06 16:30:27
BHMBCCMKT01,577,58,2016-10-07 08:03:27
BHMBCCMKT01,577,61,2016-10-07 08:30:27
BHMBCCMKT01,577,75,2016-10-07 09:04:13
BHMBCCMKT01,577,103,2016-10-07 09:30:27
BHMBCCMKT01,577,128,2016-10-07 09:57:27
BHMBCCMKT01,577,172,2016-10-07 10:30:27
BHMBCCMKT01,577,188,2016-10-07 10:57:30
BHMBCCMKT01,577,199,2016-10-07 11:30:28
BHMBCCMKT01,577,210,2016-10-07 12:03:29
BHMBCCMKT01,577,206,2016-10-07 12:30:28
BHMBCCMKT01,577,200,2016-10-07 13:04:28
BHMBCCMKT01,577,201,2016-10-07 13:30:29
BHMBCCMKT01,577,193,2016-10-07 14:03:28
BHMBCCMKT01,577,181,2016-10-07 14:30:32
BHMBCCMKT01,577,172,2016-10-07 15:04:30
BHMBCCMKT01,577,159,2016-10-07 15:30:32
BHMBCCMKT01,577,158,2016-10-07 15:57:31
BHMBCCMKT01,577,132,2016-10-07 16:30:29
BHMBCCMKT01,577,58,2016-10-08 07:57:38
BHMBCCMKT01,577,61,2016-10-08 08:30:37
BHMBCCMKT01,577,75,2016-10-08 08:57:34
BHMBCCMKT01,577,104,2016-10-08 09:30:37
BHMBCCMKT01,577,158,2016-10-08 10:04:34
BHMBCCMKT01,577,191,2016-10-08 10:30:34
BHMBCCMKT01,577,223,2016-10-08 10:57:34
BHMBCCMKT01,577,254,2016-10-08 11:30:38
BHMBCCMKT01,577,306,2016-10-08 12:04:34
BHMBCCMKT01,577,320,2016-10-08 12:30:36
BHMBCCMKT01,577,348,2016-10-08 13:04:39
BHMBCCMKT01,577,357,2016-10-08 13:30:36
BHMBCCMKT01,577,395,2016-10-08 14:03:38
BHMBCCMKT01,577,400,2016-10-08 14:30:35
BHMBCCMKT01,577,395,2016-10-08 14:57:41
BHMBCCMKT01,577,406,2016-10-08 15:30:39
BHMBCCMKT01,577,381,2016-10-08 16:04:39
BHMBCCMKT01,577,365,2016-10-08 16:30:42
BHMBCCMKT01,577,42,2016-10-09 08:04:40
BHMBCCMKT01,577,42,2016-10-09 08:30:45
BHMBCCMKT01,577,43,2016-10-09 09:04:46
BHMBCCMKT01,577,43,2016-10-09 09:30:45
BHMBCCMKT01,577,50,2016-10-09 09:57:41
BHMBCCMKT01,577,64,2016-10-09 10:30:43
BHMBCCMKT01,577,100,2016-10-09 11:04:44
BHMBCCMKT01,577,126,2016-10-09 11:30:41
BHMBCCMKT01,577,148,2016-10-09 11:57:46
BHMBCCMKT01,577,170,2016-10-09 12:30:41
BHMBCCMKT01,577,189,2016-10-09 13:04:43
BHMBCCMKT01,577,205,2016-10-09 13:30:42
BHMBCCMKT01,577,208,2016-10-09 14:03:42
BHMBCCMKT01,577,209,2016-10-09 14:30:42
BHMBCCMKT01,577,191,2016-10-09 15:04:44
BHMBCCMKT01,577,180,2016-10-09 15:30:46
BHMBCCMKT01,577,155,2016-10-09 16:03:43
BHMBCCMKT01,577,133,2016-10-09 16:30:43
BHMBCCMKT01,577,54,2016-10-10 08:04:47
BHMBCCMKT01,577,56,2016-10-10 08:30:47
BHMBCCMKT01,577,65,2016-10-10 09:04:47
BHMBCCMKT01,577,73,2016-10-10 09:30:49
BHMBCCMKT01,577,92,2016-10-10 10:03:48
BHMBCCMKT01,577,113,2016-10-10 10:30:48
BHMBCCMKT01,577,144,2016-10-10 10:57:52
BHMBCCMKT01,577,149,2016-10-10 11:30:48
BHMBCCMKT01,577,159,2016-10-10 11:57:49
BHMBCCMKT01,577,171,2016-10-10 12:30:48
BHMBCCMKT01,577,176,2016-10-10 13:04:49
BHMBCCMKT01,577,172,2016-10-10 13:30:49
BHMBCCMKT01,577,161,2016-10-10 14:03:49
BHMBCCMKT01,577,154,2016-10-10 14:30:49
BHMBCCMKT01,577,137,2016-10-10 14:57:54
BHMBCCMKT01,577,129,2016-10-10 15:30:49
BHMBCCMKT01,577,130,2016-10-10 15:57:55
