SystemCodeNumber,Capacity,AvgOccupancy,MaxOccupancy,MinOccupancy,StdOccupancy,OccupancyRatio,UtilizationLevel,PeakHour,PeakDay
BHMBCCMKT01,577,162.0297256097561,573,2,99.40497971886076,28.08,Low,13,Saturday
BHMBCCPST01,317,136.0368338557994,320,0,61.84449358917095,42.91,Moderate,14,Saturday
BHMBCCSNH01,863,572.1213292117466,869,68,206.5166520466452,66.29,High,12,Thursday
BHMBCCTHL01,387,288.3574695121951,403,39,92.34006457742124,74.51,High,14,Wednesday
BHMBRCBRG01,1010,647.3642495784148,1013,0,323.4801328122091,64.1,High,13,Saturday
BHMBRCBRG02,1194,564.1163575042159,1198,25,337.53296815713543,47.25,Moderate,13,Saturday
BHMBRCBRG03,849,243.3912310286678,633,15,122.43604192336022,28.67,Low,14,Saturday
BHMBRTARC01,496,385.21590909090907,417,352,17.490522138612526,77.66,High,7,Wednesday
BHMEURBRD01,470,302.4931402439024,470,28,137.37171656225394,64.36,High,14,Wednesday
BHMEURBRD02,220,136.5540752351097,220,2,70.41729549583724,62.07,High,12,Tuesday
BHMMBMMBX01,687,477.3018292682927,688,170,120.72639438099802,69.48,High,14,Thursday
BHMNCPHST01,1200,557.686737804878,954,55,225.4422050839935,46.47,Moderate,14,Wednesday
BHMNCPLDH01,720,505.1965944272446,723,156,155.28219249724344,70.17,High,14,Thursday
BHMNCPNHS01,500,355.4874759152216,503,20,125.22320029136797,71.1,High,13,Tuesday
BHMNCPNST01,485,285.938262195122,467,136,57.34544777754263,58.96,Moderate,14,Thursday
BHMNCPPLS01,450,86.66460108443067,377,4,55.85985906241192,19.26,Low,14,Saturday
BHMNCPRAN01,600,387.2715008431703,599,46,161.1145111985827,64.55,High,12,Thursday
Broad Street,690,436.1592987804878,690,48,205.43503301319905,63.21,High,12,Tuesday
Bull Ring,3053,1454.8676222596964,2832,77,757.2832322544524,47.65,Moderate,13,Saturday
NIA Car Parks,1268,207.26162790697674,847,1,117.17711366172371,16.35,Low,12,Thursday
NIA North,480,35.425925925925924,151,-8,36.11125072967647,7.38,Low,10,Saturday
NIA South,788,196.35714285714286,696,1,108.90165943901607,24.92,Low,14,Thursday
