SystemCodeNumber,Capacity,Occupancy
BHMBCCMKT01,577,162.03
BHMBCCPST01,317,136.04
BHMBCCSNH01,863,572.12
BHMBCCTHL01,387,288.36
BHMBRCBRG01,1010,647.36
BHMBRCBRG02,1194,564.12
BHMBRCBRG03,849,243.39
BHMBRTARC01,496,385.22
BHMEURBRD01,470,302.49
BHMEURBRD02,220,136.55
BHMMBMMBX01,687,477.3
BHMNCPHST01,1200,557.69
BHMNCPLDH01,720,505.2
BHMNCPNHS01,500,355.49
BHMNCPNST01,485,285.94
BHMNCPPLS01,450,86.66
BHMNCPRAN01,600,387.27
Broad Street,690,436.16
Bull Ring,3053,1454.87
NIA Car Parks,1268,207.26
NIA North,480,35.43
NIA South,788,196.36
Others-CCCPS105a,2009,1138.5
Others-CCCPS119a,2803,540.09
Others-CCCPS133,4675,2204.28
Others-CCCPS135a,3883,2292.38
Others-CCCPS202,2937,1010.84
Others-CCCPS8,1322,661.2
Others-CCCPS98,3103,1015.26
Shopping,1920,1066.94
