name,latitude,longitude,nearest_road,vehicle_count,distance,traffic_level,recommended_action
Gracechurch,52.5634267,-1.8249827,A5127,10147,0.0013335005140969038,Medium,Monitor
The Mailbox,52.4766912,-1.9041632,A38,66762,0.00404335910464419,Very High,Infrastructure Expansion
Police parking,52.4839441,-1.8945759,A4400,16389,0.0027115841278565543,Medium,Monitor
residents allocated parking,52.4155742,-1.872488,U,1217,0.005809509568101835,Low,No Immediate Action
The Old Fire Station,52.4610993,-1.9490723,B4129,9690,0.008649988580954546,Low,No Immediate Action
Colonade Carpark,52.4788653,-1.9005063,U,2423,0.004438864142395142,Low,No Immediate Action
Arena Birmingham North,52.4802859,-1.9144297,B4135,14064,0.002105362934797902,Medium,Monitor
Broadway Plaza,52.4740016,-1.921301,A4540,26817,0.002585457095944838,High,Redirect Overflow
4 Brindley Place (private),52.4780774,-1.9141296,B4135,14064,0.004214994482494432,Medium,Monitor
Arena Central,52.477521,-1.9061574,A4400,16490,0.002460650445910924,Medium,Monitor
Park Regis Hotel,52.4732389,-1.9163726,U,1239,0.002600684652382493,Low,No Immediate Action
Arca Car Park,52.4801032,-1.8979191,U,2423,0.0033253837680260897,Low,No Immediate Action
Imperial House Car Park,52.4797723,-1.8991584,U,2423,0.003802596736131714,Low,No Immediate Action
RCP Somerset House Car Park,52.4799966,-1.8990495,U,2423,0.0038868813427525148,Low,No Immediate Action
Bank House Car Park,52.4803207,-1.897593,U,2423,0.0033946705601045936,Low,No Immediate Action
The Wesleyan Building Basement Parking,52.4833093,-1.8968551,A4400,16389,0.0026022646332834803,Medium,Monitor
Three Snowhill Underground Car Park,52.4843714,-1.8994044,A4400,16389,0.0032996716937376235,Medium,Monitor
Two Snowhill Underground Car Park,52.4840423,-1.8990684,A4400,16389,0.0031832481562795423,Medium,Monitor
One Snowhill Underground Car Park,52.483529,-1.8984284,A4400,16389,0.0030613332530880126,Medium,Monitor
Disabled,52.53246526287406,-1.7812856958957488,A38,32375,0.004957583766084673,High,Redirect Overflow
Eastside Car Park,52.48004013477512,-1.885358282978552,A4540,56448,0.007919979735459022,Very High,Infrastructure Expansion
Four Oaks Station Car Park,52.57957892365482,-1.8286770514774373,A5127,20442,0.00825121876113154,Medium,Monitor
Four Oaks Station Car Park,52.57885413435599,-1.8282321499013912,A5127,20442,0.007401304058831795,Medium,Monitor
Anchorage Road Car Park,52.56685918010521,-1.8242047312313507,A5127,15947,0.0016198289584787539,Medium,Monitor
Lower Reddicroft,52.564455347718216,-1.82376705108297,A5127,10147,0.0029197762294602904,Medium,Monitor
Upper Reddicroft,52.56493062789429,-1.8240095305303767,A5127,15947,0.0031013865696074318,Medium,Monitor
Yardley Wood Park & Ride,52.42123818259253,-1.8552223087446091,A4040,15182,0.0075197661527639445,Medium,Monitor
Cliveland Street,52.489378156578354,-1.894774952378492,A4540,36313,0.0037487054937300163,High,Redirect Overflow
