SystemCodeNumber,Capacity,Occupancy,occupancy_ratio,static_stress,static_stress_percent,static_stress_level
BHMBCCMKT01,577,162.0297256097561,0.28081408251257556,0.16848844950754532,16.85,Medium
BHMBCCPST01,317,136.0368338557994,0.42913827714763214,0.25748296628857925,25.75,Medium
BHMBCCSNH01,863,572.1213292117466,0.6629447615431594,0.39776685692589564,39.78,High
BHMBCCTHL01,387,288.3574695121951,0.7451097403415894,0.4470658442049536,44.71,High
BHMBRCBRG01,1010,647.3642495784148,0.640954702552886,0.3845728215317316,38.46,High
BHMBRCBRG02,1194,564.1163575042159,0.4724592608913031,0.28347555653478185,28.35,Medium
BHMBRCBRG03,849,243.3912310286678,0.2866798952045557,0.17200793712273343,17.2,Medium
BHMBRTARC01,496,385.21590909090907,0.7766449780058651,0.465986986803519,46.6,Critical
BHMEURBRD01,470,302.4931402439024,0.6436024260508562,0.3861614556305137,38.62,High
BHMEURBRD02,220,136.5540752351097,0.6207003419777714,0.3724202051866628,37.24,High
BHMMBMMBX01,687,477.3018292682927,0.6947624880178933,0.416857492810736,41.69,High
BHMNCPHST01,1200,557.686737804878,0.4647389481707317,0.278843368902439,27.88,Medium
BHMNCPLDH01,720,505.1965944272446,0.7016619367045064,0.4209971620227038,42.1,High
BHMNCPNHS01,500,355.4874759152216,0.7109749518304431,0.4265849710982659,42.66,High
BHMNCPNST01,485,285.938262195122,0.5895634272064371,0.35373805632386224,35.37,High
BHMNCPPLS01,450,86.66460108443067,0.19258800240984594,0.11555280144590756,11.56,Low
BHMNCPRAN01,600,387.2715008431703,0.6454525014052839,0.3872715008431703,38.73,High
Broad Street,690,436.1592987804878,0.6321149257688229,0.37926895546129374,37.93,High
Bull Ring,3053,1454.8676222596964,0.4765370528200774,0.28592223169204645,28.59,Medium
NIA Car Parks,1268,207.26162790697674,0.1634555425133886,0.09807332550803315,9.81,Low
NIA North,480,35.425925925925924,0.073804012345679,0.0442824074074074,4.43,Low
NIA South,788,196.35714285714286,0.2491841914430747,0.1495105148658448,14.95,Low
Others-CCCPS105a,2009,1138.500762195122,0.5667002300622808,0.34002013803736847,34.0,High
Others-CCCPS119a,2803,540.0914634146342,0.19268336190318736,0.11561001714191241,11.56,Low
Others-CCCPS133,4675,2204.2836166924267,0.47150451693955653,0.2829027101637339,28.29,Medium
Others-CCCPS135a,3883,2292.3826219512193,0.5903637965364974,0.3542182779218984,35.42,High
Others-CCCPS202,2937,1010.8384146341464,0.34417378775422075,0.20650427265253243,20.65,Medium
Others-CCCPS8,1322,661.1989329268292,0.5001504787646212,0.3000902872587727,30.01,High
Others-CCCPS98,3103,1015.2599085365854,0.32718656414327596,0.19631193848596556,19.63,Medium
Shopping,1920,1066.938262195122,0.5556970115599593,0.33341820693597557,33.34,High
